시간,동작,내용
2026-04-28 16:36:37,정지,정지
2026-04-28 16:36:38,역방향구동,스텝=200, 시간=1000ms
2026-04-28 16:36:39,정지,정지
2026-04-28 16:36:39,정방향구동,스텝=200, 시간=1000ms
2026-04-28 16:36:40,정지,정지
2026-04-28 16:37:11,정방향구동,스텝=200, 시간=1000ms
2026-04-28 16:37:12,정지,정지
2026-04-28 16:37:12,역방향구동,스텝=200, 시간=1000ms
2026-04-28 16:37:13,정지,정지
2026-04-28 16:37:13,서보,0도
2026-04-28 16:37:14,서보,90도
2026-04-28 16:37:14,서보,180도
2026-04-28 17:14:31,HOME,원점복귀
2026-04-28 17:27:41,정지,정지
2026-04-28 17:59:57,역방향구동,스텝=200, 시간=1000ms
2026-04-28 17:59:59,정지,정지
2026-04-28 18:15:16,정방향구동,스텝=200, 시간=1000ms
2026-04-28 18:25:14,스텝전진,무한 정방향
2026-04-28 18:25:17,스텝정지,모터 OFF
2026-04-28 18:25:56,스텝전진,무한 정방향
2026-04-28 18:26:10,스텝정지,모터 OFF
2026-04-28 18:26:11,스텝후진,무한 역방향
2026-04-28 18:26:17,스텝정지,모터 OFF
2026-04-28 18:26:40,스텝전진,무한 정방향
2026-04-28 18:26:55,스텝정지,모터 OFF
2026-04-28 18:27:35,스텝전진,무한 정방향
2026-04-28 18:27:51,스텝정지,모터 OFF
2026-04-28 18:28:12,스텝전진,무한 정방향
2026-04-28 18:28:19,스텝정지,모터 OFF
2026-04-28 18:28:20,스텝후진,무한 역방향
2026-04-28 18:28:26,스텝정지,모터 OFF
2026-04-28 18:28:27,스텝전진,무한 정방향
2026-04-28 18:28:28,스텝정지,모터 OFF
2026-04-28 18:28:28,스텝후진,무한 역방향
2026-04-28 18:28:29,스텝정지,모터 OFF
2026-04-28 18:28:31,스텝전진,무한 정방향
2026-04-28 18:28:34,스텝정지,모터 OFF
2026-04-28 18:28:39,스텝전진,무한 정방향
2026-04-28 18:28:44,스텝정지,모터 OFF
2026-04-28 18:33:04,스텝전진,무한 정방향
2026-04-28 18:33:06,스텝정지,모터 OFF
2026-04-28 18:33:29,스텝전진,무한 정방향
2026-04-28 18:34:16,스텝정지,모터 OFF
2026-04-28 18:34:22,스텝전진,무한 정방향
2026-04-28 18:34:34,스텝정지,모터 OFF
2026-04-28 18:34:52,스텝후진,무한 역방향
2026-04-28 18:34:52,스텝정지,모터 OFF
2026-04-28 18:34:53,스텝후진,무한 역방향
2026-04-28 18:34:54,스텝정지,모터 OFF
2026-04-28 19:12:30,스텝전진,무한 정방향
2026-04-28 19:12:45,스텝정지,모터 OFF
2026-04-28 19:12:46,스텝전진,무한 정방향
2026-04-28 19:12:50,스텝정지,모터 OFF
2026-04-28 19:13:06,스텝전진,무한 정방향
2026-04-28 19:13:08,스텝정지,모터 OFF
2026-04-28 19:13:23,스텝전진,무한 정방향
2026-04-28 19:13:48,스텝정지,모터 OFF
2026-04-28 19:16:44,스텝전진,무한 정방향
2026-04-28 19:16:46,스텝전진,무한 정방향
2026-04-28 19:16:46,스텝전진,무한 정방향
2026-04-28 19:16:48,스텝전진,무한 정방향
2026-04-28 19:16:49,스텝후진,무한 역방향
2026-04-28 19:16:55,스텝전진,무한 정방향
2026-04-28 19:17:00,스텝정지,모터 OFF
2026-04-28 19:17:32,스텝전진,무한 정방향
2026-04-28 19:17:58,스텝정지,모터 OFF
2026-04-28 19:17:59,스텝후진,무한 역방향
2026-04-28 19:18:02,스텝정지,모터 OFF
2026-04-28 19:22:22,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:22:24,정지,정지
2026-04-28 19:22:24,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:22:25,정지,정지
2026-04-28 19:23:03,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:23:10,정지,정지
2026-04-28 19:23:11,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:23:12,정지,정지
2026-04-28 19:23:13,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:23:14,정지,정지
2026-04-28 19:23:14,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:23:15,정지,정지
2026-04-28 19:23:18,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:25:44,스텝전진,무한 정방향
2026-04-28 19:25:47,스텝정지,모터 OFF
2026-04-28 19:25:50,스텝전진,무한 정방향
2026-04-28 19:25:50,스텝후진,무한 역방향
2026-04-28 19:25:54,스텝정지,모터 OFF
2026-04-28 19:27:16,스텝전진,무한 정방향
2026-04-28 19:27:16,스텝정지,모터 OFF
2026-04-28 19:27:19,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:20,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:21,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:21,정지,정지
2026-04-28 19:27:22,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:23,정지,정지
2026-04-28 19:27:23,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:24,정지,정지
2026-04-28 19:27:25,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:25,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:27,정지,정지
2026-04-28 19:27:31,정방향구동,스텝=200, 시간=1000ms
2026-04-28 19:27:31,역방향구동,스텝=200, 시간=1000ms
2026-04-28 19:37:24,스텝전진,무한 정방향
2026-04-28 19:37:27,스텝정지,모터 OFF
2026-04-28 19:45:16,스텝전진,무한 정방향
2026-04-28 19:45:17,스텝정지,모터 OFF
2026-04-28 19:45:40,스텝전진,무한 정방향
2026-04-28 19:45:41,스텝정지,모터 OFF
2026-04-28 19:45:46,스텝전진,무한 정방향
2026-04-28 19:45:47,스텝정지,모터 OFF
2026-04-28 19:46:07,스텝전진,무한 정방향
2026-04-28 19:46:08,스텝정지,모터 OFF
2026-04-28 19:46:12,스텝전진,무한 정방향
2026-04-28 19:46:19,스텝정지,모터 OFF
2026-04-28 19:46:44,스텝전진,무한 정방향
2026-04-28 19:46:47,스텝정지,모터 OFF
2026-04-28 19:46:51,스텝전진,무한 정방향
2026-04-28 19:46:54,스텝정지,모터 OFF
2026-04-28 19:47:21,스텝전진,무한 정방향
2026-04-28 19:47:23,스텝정지,모터 OFF
2026-04-28 19:47:43,스텝전진,무한 정방향
2026-04-28 19:47:45,스텝정지,모터 OFF
2026-04-28 19:48:27,스텝전진,무한 정방향
2026-04-28 19:48:38,스텝정지,모터 OFF
2026-04-28 19:49:47,스텝전진,무한 정방향
2026-04-28 19:49:49,스텝정지,모터 OFF
2026-04-28 19:50:07,스텝전진,무한 정방향
2026-04-28 19:50:09,스텝정지,모터 OFF
2026-04-28 19:50:29,스텝전진,무한 정방향
2026-04-28 19:50:32,스텝정지,모터 OFF
2026-04-28 20:01:22,스텝전진,무한 정방향
2026-04-28 20:01:24,스텝정지,모터 OFF
2026-04-28 20:03:01,스텝전진,무한 정방향
2026-04-28 20:03:03,스텝정지,모터 OFF
2026-04-28 20:03:44,스텝전진,무한 정방향
2026-04-28 20:03:46,스텝정지,모터 OFF
2026-04-28 20:04:04,스텝전진,무한 정방향
2026-04-28 20:04:07,스텝정지,모터 OFF
2026-04-28 20:04:35,스텝전진,무한 정방향
2026-04-28 20:04:41,스텝정지,모터 OFF
2026-04-28 20:10:28,스텝전진,무한 정방향
2026-04-28 20:10:35,스텝정지,모터 OFF
2026-04-28 20:10:58,스텝전진,무한 정방향
2026-04-28 20:10:59,스텝정지,모터 OFF
2026-04-28 20:12:34,스텝전진,무한 정방향
2026-04-28 20:12:39,스텝정지,모터 OFF
2026-04-28 20:13:32,스텝전진,무한 정방향
2026-04-28 20:13:33,스텝정지,모터 OFF
2026-04-28 20:13:55,스텝전진,무한 정방향
2026-04-28 20:13:59,스텝정지,모터 OFF
2026-04-28 21:08:58,스텝전진,무한 정방향
2026-04-28 21:09:08,스텝정지,모터 OFF
2026-04-28 21:16:10,스텝전진,무한 정방향
2026-04-28 21:16:12,스텝정지,모터 OFF
2026-04-28 21:16:37,스텝전진,무한 정방향
2026-04-28 21:16:39,스텝정지,모터 OFF
2026-04-28 21:16:54,스텝전진,무한 정방향
