시간,동작,내용
2026-04-29 11:14:11,영상중지,카메라 해제
2026-04-29 11:24:48,영상중지,카메라 해제
2026-04-29 11:26:16,영상중지,카메라 해제
2026-04-29 11:27:58,영상중지,카메라 해제
2026-04-29 11:32:12,영상시작,Integrated Camera
2026-04-29 11:32:20,영상중지,카메라 해제
2026-04-29 11:39:54,영상중지,카메라 해제
2026-04-29 11:40:10,영상중지,카메라 해제
2026-04-29 11:43:10,영상중지,카메라 해제
2026-04-29 11:44:45,영상중지,카메라 해제
2026-04-29 11:46:38,영상중지,카메라 해제
2026-04-29 11:46:59,영상중지,카메라 해제
2026-04-29 11:51:23,영상중지,카메라 해제
2026-04-29 11:55:43,영상중지,카메라 해제
2026-04-29 11:57:29,영상중지,카메라 해제
2026-04-29 12:03:54,영상중지,카메라 해제
2026-04-29 12:11:22,영상중지,카메라 해제
2026-04-29 12:11:46,영상중지,카메라 해제
2026-04-29 12:22:39,영상중지,카메라 해제
2026-04-29 12:24:29,영상중지,카메라 해제
2026-04-29 12:25:10,영상중지,카메라 해제
2026-04-29 12:27:01,영상중지,카메라 해제
2026-04-29 12:28:54,영상중지,카메라 해제
2026-04-29 12:31:49,영상중지,카메라 해제
2026-04-29 12:32:05,영상중지,카메라 해제
2026-04-29 14:16:18,영상중지,카메라 해제
2026-04-29 14:23:14,영상중지,카메라 해제
2026-04-29 14:24:31,영상중지,카메라 해제
2026-04-29 15:07:06,영상중지,카메라 해제
2026-04-29 15:14:28,영상시작,Integrated Camera
2026-04-29 15:21:44,영상중지,카메라 해제
2026-04-29 15:21:50,영상시작,Integrated Camera
2026-04-29 15:22:37,영상중지,카메라 해제
2026-04-29 15:36:16,영상중지,카메라 해제
2026-04-29 16:09:41,영상중지,카메라 해제
2026-04-29 22:03:30,영상중지,카메라 해제
2026-04-29 22:48:19,영상중지,카메라 해제
2026-04-30 10:45:39,영상중지,카메라 해제
2026-04-30 15:18:28,영상중지,카메라 해제
2026-04-30 15:29:15,영상시작,Integrated Camera
2026-04-30 15:29:18,캡처,captures\capture_20260430_152918.png
2026-04-30 15:29:22,영상중지,카메라 해제
2026-04-30 15:29:56,영상중지,카메라 해제
2026-04-30 15:45:00,영상중지,카메라 해제
2026-04-30 15:47:00,영상중지,카메라 해제
2026-04-30 15:47:53,영상중지,카메라 해제
2026-04-30 15:49:42,영상중지,카메라 해제
2026-04-30 15:52:25,영상중지,카메라 해제
2026-04-30 15:52:47,영상중지,카메라 해제
2026-04-30 15:53:12,영상중지,카메라 해제
2026-04-30 15:55:48,영상중지,카메라 해제
2026-04-30 15:57:40,영상중지,카메라 해제
2026-04-30 15:59:45,영상중지,카메라 해제
2026-04-30 16:03:02,영상중지,카메라 해제
2026-04-30 16:05:12,영상중지,카메라 해제
2026-04-30 20:59:18,영상중지,카메라 해제
